Date,Price,Open,High,Low,Vol.,Change %,MA10,MA50,MA200,RSI,MOM_S,VOL_T,T_OSC,BPI,BRI,SENT_S
2023-05-22,26847.3,26749.9,27048.9,26546.1,35560.0,0.36,26974.409999999996,28329.254,23753.44121212121,36.90339824360441,-555.7999999999993,571.7600000000014,-1354.8440000000046,954.689988,0,0.0
2023-05-23,27220.7,26851.6,27448.1,26804.1,50890.0,1.39,27018.73,28317.626,23774.328313253012,44.049876458081926,392.7000000000007,497.12000000000114,-1298.8960000000006,1385.261423,0,0.0
2023-05-24,26328.4,27220.7,27220.7,26088.7,72650.0,-3.28,26959.57,28280.905999999995,23789.622155688623,35.316610231958194,-554.5,634.8400000000008,-1321.3359999999957,1912.75826,0,0.0
2023-05-25,26475.8,26327.1,26589.2,25892.5,50170.0,0.56,26888.76,28246.951999999997,23805.61130952381,43.438703507456886,-640.4000000000015,711.0000000000007,-1358.191999999999,1328.290886,0,0.0
2023-05-26,26711.5,26475.5,26911.6,26330.0,45880.0,0.89,26856.379999999997,28220.447999999997,23822.805917159763,48.881463153330095,-38.400000000001455,711.4200000000004,-1364.0679999999993,1225.52362,0,0.0
2023-05-27,26857.5,26711.2,26882.9,26591.2,18680.0,0.55,26801.82,28199.39,23840.65705882353,50.988972951589766,10.200000000000728,669.2,-1397.5699999999997,501.6981,0,0.0
2023-05-28,28071.2,26855.3,28181.9,26788.5,55230.0,4.52,26926.140000000003,28201.99,23865.39707602339,61.251417178153964,850.5,819.0800000000003,-1275.8499999999985,1550.372376,0,0.0
2023-05-29,27739.4,28068.4,28431.2,27548.8,54560.0,-1.18,27011.79,28190.246,23887.920348837208,55.358141867777846,1411.0,769.1600000000005,-1178.4559999999983,1513.461664,0,0.0
2023-05-30,27698.2,27738.9,28033.6,27583.8,45190.0,-0.15,27069.99,28151.39,23909.945086705204,56.52936193684379,1222.4000000000015,719.7800000000003,-1081.3999999999978,1251.681658,0,0.0
2023-05-31,27216.1,27696.9,27825.0,26865.1,63080.0,-1.74,27116.609999999997,28091.52,23928.945977011495,48.19866682079144,504.59999999999854,795.4400000000009,-974.9100000000035,1716.791588,0,0.0
2023-06-01,26819.0,27216.4,27340.9,26662.3,51980.0,-1.46,27113.780000000006,28030.172000000002,23945.46057142857,49.91022622990065,-38.5,872.8200000000012,-916.3919999999962,1394.05162,0,0.0
2023-06-02,27244.7,26819.0,27299.4,26541.3,49370.0,1.59,27116.18,27967.318000000003,23964.20625,53.36032990303524,-826.5,745.7600000000014,-851.1380000000026,1345.070839,0,0.0
2023-06-03,27072.0,27246.0,27317.5,26931.4,20620.0,-0.63,27190.54,27899.308000000005,23981.76440677966,49.58480498985496,-667.4000000000015,646.5000000000007,-708.7680000000037,558.22464,0,0.0
2023-06-04,27122.3,27070.9,27410.2,26956.1,23810.0,0.19,27255.190000000002,27835.762000000002,23999.407865168538,53.71894223855555,-575.9000000000015,647.3600000000013,-580.5720000000001,645.781963,0,0.0
2023-06-05,25747.4,27122.3,27125.5,25437.5,85420.0,-5.07,27158.78,27744.504,24009.173184357544,41.248826440494575,-1468.699999999997,792.980000000001,-585.724000000002,2199.342908,0,0.0
2023-06-06,27230.2,25745.6,27325.2,25425.6,88610.0,5.76,27196.05,27700.41,24027.06777777778,50.06424388330606,411.2000000000007,1037.180000000001,-504.3600000000006,2412.868022,0,0.0
2023-06-07,26342.5,27230.2,27342.0,26141.0,77480.0,-3.26,27023.18,27619.616,24039.860220994477,50.0954108078115,-902.2000000000007,1125.7600000000007,-596.4360000000015,2041.0169,0,0.0
2023-06-08,26501.1,26341.8,26784.4,26231.3,39950.0,0.6,26899.35,27573.363999999998,24053.383516483515,50.17093901598583,-570.9000000000015,1159.1600000000012,-674.0139999999992,1058.718945,0,0.0
2023-06-09,26479.3,26501.1,26773.9,26326.7,38960.0,-0.08,26777.46,27538.14,24066.63989071038,48.384448402538126,-643.0,1157.780000000001,-760.6800000000003,1031.633528,0,0.0
2023-06-10,25844.0,26479.3,26525.1,25468.3,83570.0,-2.4,26640.25,27509.724000000002,24076.299456521738,43.39799627395547,96.59999999999854,1031.5400000000009,-869.474000000002,2159.78308,0,0.0
2023-06-11,25928.4,25843.3,26190.1,25660.8,39200.0,0.33,26551.190000000002,27472.014,24086.31081081081,33.63375290235855,-1301.7999999999993,757.4800000000002,-920.8239999999969,1016.39328,0,0.0
2023-06-12,25906.8,25927.9,26080.7,25635.0,40750.0,-0.08,26417.4,27438.322,24096.098387096772,35.3067573201629,-435.7000000000007,606.4200000000004,-1020.9219999999987,1055.7021,0,0.0
2023-06-13,25929.4,25906.9,26428.9,25726.4,56240.0,0.09,26303.139999999996,27406.724,24105.902139037433,35.77586206896554,-571.6999999999971,636.3,-1103.5840000000026,1458.269456,0,0.0
2023-06-14,25129.5,25929.0,26051.7,24847.4,60820.0,-3.08,26103.86,27343.338,24111.34680851064,34.03617223123298,-1349.7999999999993,787.7199999999997,-1239.4779999999992,1528.37619,0,0.0
2023-06-15,25591.3,25129.5,25732.8,24838.0,68380.0,1.84,26088.25,27286.672000000002,24119.17724867725,40.699383342676626,-252.70000000000073,755.3199999999997,-1198.4220000000023,1749.933094,0,0.0
2023-06-16,26341.3,25591.9,26472.8,25276.0,69240.0,2.93,25999.36,27223.98,24130.872631578946,43.47669112125238,412.8999999999978,888.8199999999997,-1224.619999999999,1823.871612,0,0.0
2023-06-17,26515.0,26341.3,26767.3,26183.5,35860.0,0.66,26016.61,27167.843999999997,24143.354973821988,45.97857163485142,608.2000000000007,916.4399999999994,-1151.2339999999967,950.8279,0,0.0
2023-06-18,26339.7,26515.0,26679.3,26290.6,27310.0,-0.66,26000.469999999998,27109.956000000002,24154.794270833332,44.44996028594124,410.2999999999993,853.6799999999996,-1109.4860000000044,719.337207,0,0.0
2023-06-19,26845.9,26339.7,27029.7,26295.1,46450.0,1.92,26037.129999999997,27061.832,24168.7378238342,58.885096332724004,1716.4000000000015,759.7400000000001,-1024.7020000000011,1246.992055,0,0.0
2023-06-20,28307.7,26845.9,28393.0,26665.5,100550.0,5.44,26283.5,27066.434000000005,24190.07268041237,58.74494781437174,2716.4000000000015,926.2800000000003,-782.9340000000047,2846.339235,0,0.0
2023-06-21,29996.9,28307.7,30769.5,28270.5,143490.0,5.97,26690.35,27092.99,24219.85128205128,76.24457786331905,3655.600000000002,1186.7200000000005,-402.64000000000306,4304.255181,0,0.0
2023-06-22,29890.5,29992.8,30497.8,29590.4,79220.0,-0.35,27088.72,27110.328,24248.783163265307,74.52532561505063,3375.5,1251.44,-21.608000000000175,2367.92541,0,0.0
2023-06-23,30679.4,29890.2,31395.4,29822.6,98850.0,2.64,27563.72,27147.074,24281.425888324877,77.35473030180665,4339.700000000001,1488.2600000000007,416.64600000000064,3032.65869,0,0.0
2023-06-24,30533.6,30680.7,30795.3,30269.4,38150.0,-0.48,28104.129999999997,27167.482000000004,24313.002525252527,82.62285046468912,3687.699999999997,1446.5199999999998,936.6479999999938,1164.85684,0,0.0
2023-06-25,30465.3,30533.6,31040.2,30315.8,37120.0,-0.22,28591.53,27199.646,24343.918592964823,81.63145785400538,2157.5999999999985,1245.9,1391.8839999999982,1130.871936,0,0.0
2023-06-26,30267.0,30466.3,30645.9,29986.3,58710.0,-0.65,28984.1,27236.49,24373.534,79.66849024250834,270.09999999999854,878.0200000000004,1747.609999999997,1776.97557,0,0.0
2023-06-27,30689.1,30267.0,30993.7,30231.3,55820.0,1.39,29401.51,27296.861999999997,24441.351000000002,80.71685790621729,798.5999999999985,849.0200000000011,2104.648000000001,1713.065562,0,0.0
2023-06-28,30078.6,30691.9,30703.4,29919.5,51060.0,-1.99,29775.4,27345.736,24506.107999999997,82.73950491512639,-600.8000000000029,691.2400000000009,2429.6640000000007,1535.813316,0,0.0
2023-06-29,30445.7,30077.3,30823.1,30051.3,49570.0,1.22,30135.379999999997,27402.584,24572.87,82.5204994908623,-87.89999999999782,740.4200000000012,2732.7959999999985,1509.193349,0,0.0
2023-06-30,30472.9,30445.7,31275.5,29714.5,118650.0,0.09,30351.9,27472.372000000003,24639.1825,80.64621409921669,7.600000000002183,907.7400000000009,2879.5279999999984,3615.609585,0,0.0
2023-07-01,30586.8,30472.9,30649.9,30329.0,22460.0,0.37,30410.889999999996,27548.124,24703.2235,80.4729830863643,319.7999999999993,840.0000000000007,2862.765999999996,686.979528,0,0.0
2023-07-02,30617.7,30587.1,30769.0,30227.9,28820.0,0.1,30483.609999999997,27624.928000000004,24767.33,82.72343420126668,-71.39999999999782,795.7400000000001,2858.6819999999934,882.402114,0,0.0
2023-07-03,31151.3,30617.5,31377.0,30581.5,56490.0,1.74,30530.8,27709.554,24836.306,82.79555149299205,1072.7000000000007,798.0599999999998,2821.245999999999,1759.736937,0,0.0
2023-07-04,30768.4,31152.0,31326.5,30657.8,42120.0,-1.23,30554.28,27781.244000000002,24907.0,72.43076698692822,322.7000000000007,777.4400000000002,2773.0359999999964,1295.965008,0,0.0
2023-07-05,30512.8,30768.6,30875.6,30233.3,43230.0,-0.83,30559.03,27850.794000000005,24975.678499999995,56.36677773664072,39.89999999999782,593.7,2708.2359999999935,1319.068344,0,0.0
2023-07-06,29913.1,30512.8,31463.6,29869.0,90810.0,-1.97,30523.639999999996,27900.994,25041.538500000002,50.24863580355569,-673.7000000000007,848.4399999999994,2622.645999999997,2716.408611,0,0.0
2023-07-07,30346.4,29912.7,30442.0,29757.4,46420.0,1.45,30489.370000000003,27971.362,25111.064,46.02549412775709,-271.2999999999993,877.1399999999994,2518.0080000000016,1408.679888,0,0.0
2023-07-08,30288.8,30346.8,30379.9,30055.9,17410.0,-0.19,30510.389999999996,28039.48,25177.994000000002,47.01536210680323,-862.5,782.8399999999995,2470.909999999996,527.328008,0,0.0
2023-07-09,30166.9,30288.8,30425.5,30071.9,20050.0,-0.4,30482.510000000002,28100.494000000002,25244.669499999996,46.40879988446544,-601.5,719.819999999999,2382.0159999999996,604.846345,0,0.0
2023-07-10,30415.3,30166.9,31019.6,29969.1,55240.0,0.82,30476.75,28173.802000000003,25312.642999999996,51.76350274692606,-97.5,801.4599999999991,2302.9479999999967,1680.141172,0,0.0
2023-07-11,30623.3,30414.2,30782.2,30333.8,39840.0,0.68,30480.4,28249.321999999996,25381.864000000005,49.175562572044306,710.2000000000007,572.2199999999997,2231.078000000005,1220.032272,0,0.0
2023-07-12,30387.3,30623.3,30951.3,30231.7,54060.0,-0.77,30457.359999999997,28312.654,25449.614500000003,54.268410718730124,40.89999999999782,579.2199999999997,2144.7059999999983,1642.737438,0,0.0
2023-07-13,31466.1,30387.3,31764.5,30260.0,99810.0,3.55,30488.840000000004,28415.408000000003,25522.786,61.7888996718887,1177.2999999999993,815.3199999999997,2073.4320000000007,3140.631441,0,0.0
2023-07-14,30317.4,31465.4,31602.6,29944.3,82420.0,-3.65,30443.739999999998,28492.24,25589.7825,48.57321123814068,150.5,1076.2599999999998,1951.4999999999964,2498.760108,0,0.0
2023-07-15,30291.4,30316.8,30395.4,30246.9,17060.0,-0.09,30421.6,28563.838000000003,25657.709,47.245122542619484,-123.89999999999782,895.8599999999999,1857.7619999999952,516.771284,0,0.0
2023-07-16,30235.5,30291.8,30435.0,30075.4,20310.0,-0.18,30453.840000000004,28631.398,25726.155499999997,46.45217585028961,-387.7999999999993,878.0999999999992,1822.4420000000027,614.083005,0,0.0
2023-07-17,30139.7,30235.5,30335.9,29693.3,42840.0,-0.32,30433.170000000002,28672.768000000004,25793.672,39.77892737339855,-247.59999999999854,862.7,1760.4019999999982,1291.184748,0,0.0
2023-07-18,29866.8,30139.7,30242.4,29624.6,42400.0,-0.91,30390.97,28715.316000000003,25859.97,40.68325548712436,-1599.2999999999993,685.3600000000006,1675.6539999999986,1266.35232,0,0.0
2023-07-19,29909.7,29866.7,30185.5,29789.3,34960.0,0.14,30365.25,28759.546000000002,25926.8315,43.4812685099116,-407.7000000000007,432.94000000000085,1605.703999999998,1045.643112,0,0.0
2023-07-20,29801.0,29909.7,30408.0,29621.4,50330.0,-0.36,30303.82,28811.244000000002,25992.744499999997,48.644465404241956,-490.40000000000146,560.5600000000006,1492.5759999999973,1499.88433,0,0.0
2023-07-21,29903.1,29801.0,30058.9,29739.9,32590.000000000004,0.34,30231.8,28872.926,26058.8885,44.172779136104275,-332.40000000000146,552.4400000000009,1358.8739999999998,974.5420290000001,0,0.0
2023-07-22,29788.9,29904.5,29988.0,29657.3,18470.0,-0.38,30171.960000000003,28923.81,26124.461999999996,43.52511462839677,-350.7999999999993,490.06000000000057,1248.1500000000015,550.200983,0,0.0
2023-07-23,30085.9,29788.9,30337.0,29735.7,23320.0,1.0,30033.940000000002,28984.088,26190.631,48.99638201913069,219.10000000000218,486.7599999999999,1049.8520000000026,701.603188,0,0.0
2023-07-24,29178.1,30085.9,30098.2,28890.7,55730.0,-3.02,29920.010000000002,29025.204000000005,26252.3725,36.823719860270934,-731.6000000000022,649.0199999999998,894.8059999999969,1626.095513,0,0.0
2023-07-25,29228.6,29178.3,29365.4,29058.7,29050.0,0.17,29813.73,29094.827999999998,26313.761000000002,34.63072752518016,-572.4000000000015,553.0400000000002,718.9020000000019,849.09083,0,0.0
2023-07-26,29352.2,29228.8,29681.8,29109.7,44330.0,0.42,29725.4,29137.268000000004,26375.804,38.303690478880895,-550.8999999999978,603.6599999999999,588.1319999999978,1301.183026,0,0.0
2023-07-27,29222.7,29352.9,29568.8,29094.0,30420.0,-0.44,29633.7,29194.872000000003,26436.3225,17.726435723328393,-566.2000000000007,632.4799999999996,438.8279999999977,888.954534,0,0.0
2023-07-28,29315.0,29222.7,29533.0,29125.1,31420.0,0.32,29578.52,29251.15,26496.996999999996,29.282407407407405,-770.9000000000015,593.8,327.369999999999,921.0773,0,0.0
2023-07-29,29353.5,29315.0,29400.1,29256.9,13900.0,0.13,29522.9,29308.634000000005,26556.569,30.715137558086937,175.40000000000146,380.93999999999943,214.26599999999598,408.01365,0,0.0
2023-07-30,29281.7,29354.2,29446.6,29054.5,20580.0,-0.24,29470.97,29377.388000000003,26613.266,30.5156071253473,53.10000000000218,398.01999999999896,93.58199999999852,602.617386,0,0.0
2023-07-31,29232.4,29282.0,29502.3,29128.3,31840.0,-0.17,29403.9,29443.467999999997,26665.171500000004,31.10657615259676,-119.79999999999927,358.3999999999993,-39.56799999999566,930.759616,0,0.0
2023-08-01,29712.2,29232.3,29712.2,28611.0,64010.00000000001,1.64,29396.23,29519.576,26714.0975,47.0360429447853,489.5,483.67999999999955,-123.34600000000137,1901.8779220000001,0,0.0
2023-08-02,29173.7,29711.8,30025.9,28961.6,67410.0,-1.81,29305.010000000002,29584.462000000003,26755.175,38.1428019074623,-141.29999999999927,614.9599999999998,-279.45200000000114,1966.599117,0,0.0
2023-08-03,29189.3,29180.9,29409.8,28981.0,36080.0,0.05,29306.129999999997,29665.658000000003,26796.7225,39.84055804683606,-164.20000000000073,672.0800000000003,-359.5280000000057,1053.149944,0,0.0
2023-08-04,29105.5,29189.1,29319.1,28875.8,31430.0,-0.29,29293.82,29735.942000000003,26836.328999999998,36.672013902813994,-176.20000000000073,682.3200000000004,-442.122000000003,914.785865,0,0.0
2023-08-05,29068.1,29105.6,29139.3,28983.0,14550.0,-0.13,29265.409999999996,29790.478,26875.984,37.6380599574672,-164.3000000000029,638.7800000000003,-525.0680000000029,422.940855,0,0.0
2023-08-06,29081.3,29067.9,29198.9,28987.4,16030.000000000002,0.05,29251.27,29841.804,26918.0375,30.91275269797839,-630.9000000000015,460.84000000000015,-590.5339999999997,466.1732390000001,0,0.0
2023-08-07,29204.2,29081.3,29270.2,28721.0,41190.0,0.42,29240.190000000002,29899.093999999997,26958.6525,50.70666594465809,30.5,357.8199999999997,-658.903999999995,1202.920998,0,0.0
2023-08-08,29777.4,29204.2,30168.6,29137.7,62570.0,1.96,29282.579999999998,29957.724000000002,26994.153499999997,61.58099096817765,588.1000000000022,478.23999999999944,-675.1440000000039,1863.171918,0,0.0
2023-08-09,29578.0,29771.3,30104.0,29384.2,49670.0,-0.67,29312.21,29983.13,27028.165,54.61720922623914,472.5,533.5399999999994,-670.9200000000019,1469.13926,0,0.0
2023-08-10,29449.0,29578.0,29719.4,29377.5,32000.0,-0.44,29333.870000000003,29972.172000000002,27061.870999999996,54.62837976029776,380.90000000000146,570.6599999999999,-638.3019999999997,942.368,0,0.0
2023-08-11,29420.8,29448.9,29544.9,29271.2,27710.0,-0.1,29304.73,29962.778,27094.3975,52.222128875073494,339.5,583.1,-658.0479999999989,815.250368,0,0.0
2023-08-12,29428.2,29420.8,29480.8,29375.4,11070.0,0.02,29330.18,29937.754000000004,27128.375999999997,51.58969993615664,224.0,494.3399999999994,-607.5740000000042,325.770174,0,0.0
2023-08-13,29300.1,29428.2,29468.5,29272.3,13490.0,-0.44,29341.26,29913.084,27159.601000000002,50.382409177820215,-477.3000000000029,327.4,-571.8240000000005,395.258349,0,0.0
2023-08-14,29426.7,29300.1,29689.0,29116.0,39300.0,0.43,29373.379999999997,29892.311999999998,27191.6545,53.91244814949053,-151.29999999999927,298.04000000000013,-518.9320000000007,1156.46931,0,0.0
2023-08-15,29195.3,29426.7,29472.0,29118.6,33810.0,-0.79,29386.1,29870.877999999997,27222.258,38.43468922002956,-253.70000000000073,300.34000000000015,-484.7779999999984,987.093093,0,0.0
2023-08-16,28726.3,29195.3,29251.1,28717.6,43710.0,-1.61,29350.6,29831.622000000003,27250.75,39.66839091077039,-694.5,352.3,-481.0220000000045,1255.626573,0,0.0
2023-08-17,26635.7,28726.1,28771.8,25489.4,132920.0,-7.28,29093.75,29762.764,27265.163000000004,19.888212820150088,-2792.5,987.7,-669.0139999999992,3540.417244,0,0.0
2023-08-18,26053.2,26635.7,26801.9,25691.0,93050.0,-2.19,28721.329999999998,29674.914,27281.268000000004,17.795268944269864,-3246.899999999998,1170.64,-953.5840000000026,2424.25026,0,0.0
2023-08-19,26099.4,26053.3,26262.2,25799.5,33040.0,0.18,28373.47,29587.444,27296.139499999997,18.735387661394057,-3327.2999999999993,1148.5800000000004,-1213.9739999999983,862.324176,0,0.0
2023-08-20,26190.8,26099.5,26269.1,25998.5,24000.0,0.35,28047.65,29499.524000000005,27308.4655,20.052218239084993,-3004.5,1132.0199999999998,-1451.8740000000034,628.5792,0,0.0
